id_parlamentar,casa,nome_eleitoral,partido,UF,twitter,twitter2,nome_civil
204554,câmara,ABÍLIO SANTANA,PR,BA,AbilioSantana_,NA,JOSE ABILIO SILVA DE SANTANA
204521,câmara,ABOU ANNI,PSL,SP,abouannipv,NA,PAULO SERGIO ABOU ANNI
204379,câmara,ACÁCIO FAVACHO,PROS,AP,FavachoAcacio,AcacioFavacho,ACÁCIO DA SILVA FAVACHO NETO
204560,câmara,ADOLFO VIANA,PSDB,BA,AdolfoViana_,NA,ADOLFO VIANA DE CASTRO NETO
204528,câmara,ADRIANA VENTURA,NOVO,SP,adrianasounovo,NA,ADRIANA MIGUEL VENTURA
121948,câmara,ADRIANO DO BALDY,PP,GO,AdrianoBaldy,NA,ADRIANO ANTÔNIO AVELAR
74646,câmara,AÉCIO NEVES,PSDB,MG,AecioNeves,NA,AÉCIO NEVES DA CUNHA
160508,câmara,AFONSO FLORENCE,PT,BA,AfonsoFlorence‏,NA,AFONSO BANDEIRA FLORENCE
136811,câmara,AFONSO HAMM,PP,RS,depafonsohamm,NA,JOSÉ ALFONSO EBERT HAMM
178835,câmara,AFONSO MOTTA,PDT,RS,afonso_motta,NA,AFONSO ANTUNES DA MOTTA
160527,câmara,AGUINALDO RIBEIRO,PP,PB,aguinaldo1111,depaguinaldo11,AGUINALDO VELLOSO BORGES RIBEIRO
204495,câmara,AIRTON FALEIRO,PT,PA,FALEIRO13,FaleiroAirton,AIRTON LUIZ FALEIRO
204549,câmara,AJ ALBUQUERQUE,PP,CE,NA,NA,ANTONIO JOSE AGUIAR ALBUQUERQUE
178836,câmara,ALAN RICK,DEM,AC,Alan_Rick,NA,ALAN RICK MIRANDA
160559,câmara,ALCEU MOREIRA,MDB,RS,Alceu_Moreira,NA,ALCEU MOREIRA DA SILVA
204413,câmara,ALCIDES RODRIGUES,PRP,GO,NA,NA,ALCIDES RODRIGUES FILHO
204545,câmara,ALÊ SILVA,PSL,MG,oficialalesilva,NA,ALESSANDRA DA SILVA
204501,câmara,ALENCAR SANTANA BRAGA,PT,SP,AlencarBraga13,NA,ALENCAR SANTANA BRAGA
160511,câmara,ALESSANDRO MOLON,PSB,RJ,AlessandroMolon,NA,ALESSANDRO LUCCIOLA MOLON
178972,câmara,ALEX MANENTE,PPS,SP,alexmanentepps,NA,ALEX SPINELLI MANENTE
204571,câmara,ALEX SANTANA,PDT,BA,NA,NA,ALEX MARCO SANTANA SOUSA
204544,câmara,ALEXANDRE FROTA,PSL,SP,alefrotabrasil,NA,ALEXANDRE FROTA DE ANDRADE
160545,câmara,ALEXANDRE LEITE,DEM,SP,lexandreleite,NA,ALEXANDRE LEITE DA SILVA
