cursos,codigo
Administração/CH (diurno)/ 80 (40/40),13434/13301100
Administração/CH (noturno)/40 (0/40),13434/13301200
Administração/CCJS (noturno)/ 55,118546/31301200
Agronomia/CCTA (diurno)/90 (45/45),99800/91402100
Arquitetura e Urbanismo/CTRN (diurno)/40 (0/40),1129147/15101100
Arte e Mídia /CH (diurno)/35 (0/35),21164/13317100
Ciências Biológicas/CES (diurno)/40,99804/51201110
Ciências Biológicas/CES (noturno)/40,99804/51201210
Ciências Biológicas/CFP (matutino)/40,1152882/21201110
Ciências Biológicas/CSTR (diurno)/45,99802/41201110
Ciências Biológicas/CSTR (noturno)45 (0/45),99802/41201210
Ciência da Computação/CEEI (diurno)180 (90/90),13446/14102100
Ciências Contábeis/CCJS (noturno)/55,79567/31306200
Ciências Econômicas/CH (matutino)/45,13451/13304100
Ciências Econômicas/CH (noturno)45 (0/45),13451/13304200
Ciências Sociais/CDSA (noturno)/50,1106595/71305210
Ciências Sociais/CH (Bacharelado) (diurno)/30,313436/13305150
Ciências Sociais/CH (Licenciatura (noturno))/40 (0/40),13436/13305210
Comunicação Social/CH (diurno)/40 (0/40),1149786/13306100
Comunicação Social/CH (noturno)/40 (0/40),1149786/13306200
Curso Superior de Tecnologia em Agroecologia/CDSA (diurno)/50,1150096/71420100
Curso Superior de Tecnologia em Gestão Pública/CDSA (noturno)/50,1135705/71318200
Design/CCT (diurno)/60 (30/30),13447/11104100
Direito/CCJS (matutino)/60,13433/31350100
Direito/CCJS (vespertino)/60,13433/31350300
Direito/CCJS (noturno)/60,13433/31350200
Interdisciplinar em Educação do Campo/CDSA (integral)/50,1106596/71315110
Enfermagem/CCBS (diurno)/60 (30/30),1134328/12204100
Enfermagem/CES (diurno)/60 (30/30),107492/51204100
Enfermagem/CFP (diurno)/60 (30/30),79572/21204100
Engª Agrícola/CTRN (diurno)/50,13440/15121100
Engª de Alimentos/CTRN (diurno)/45,118550/11125100
Engª de Alimentos/CCTA (diurno)/90 (45/45),112294/91125100
Engª Ambiental/CCTA (diurno)/90 (45/45),112282/91130100
Engª de Biotecnologia e Bioprocessos/CDSA (diurno)/50,1106561/71132100
Engª de Biossistemas/CDSA (diurno)/50,1106562/71131100
Engª Civil/CCTA (diurno)/90 (45/45),1280408/91122100
Engª Civil/CTRN (diurno)/120 (60/60),13439/15122100
Engª de Materiais/CCT (diurno)/60,13445/11126100
Engª de Minas/CTRN (diurno)/40,13444/15127100
Engª de Petróleo/CCT (diurno)/50,118562/11135100
Engª de Produção/CDSA (diurno)/50,1106578/71133100
Eng.ª de Produção/CCT (diurno)/40,79570/11133100
Engª Elétrica/CEEI (diurno)/225 (115/110),13438/14123100
Engª Florestal/CSTR (diurno)/40,13456/41403100
Engª Mecânica/CCT (diurno)/80 (40/40),13442/11124100
Engª Química/CCT (diurno)/60,13441/11128100
Estatística/CCT (diurno)/30,1120733/11134100
Farmácia/CES (diurno)/90 (45/45),107495/51203100
Filosofia/CH (Bacharelado) (noturno)/20,121366/13314250
Filosofia/CH (Licenciatura) (noturno)/20,121367/13314210
Física/CFP (noturno)/40,1152879/21105210
Física/CCT (Bacharelado)(diurno)/20,318388/11105150
Física/CCT (Licenciatura)(diurno)/20,1204358/11105110
Física/CES (diurno)/30,99810/51105100
Física/CES (noturno)/30,99810/51105210
Geografia/CH (diurno)/45,120777/13316110
Geografia/CH (noturno)/45,120777/13316210
Geografia/CFP (matutino)/45 (0/45),13407/21316110
Geografia/CFP (noturno)/40,13407/21316210
História/CH (diurno)/40,13449/13309110
História/CH (noturno)/40 (0/40),13449/13309210
História/CFP (matutino)/50,13405/21309110
História/CFP (noturno)/50 (0/50),13405/21109110
Letras - Libras/CH (diurno)/30,364560/13323110
Letras (Língua Portuguesa)/CFP (matutino)/25,1160083/21310110
Letras (Língua Portuguesa)/CFP (noturno)/40 (0/40),1160083/21310210
Letras (Língua Inglesa)/CFP (matutino)/25,1162185/21310116
Letras (Língua Portuguesa e Língua Francesa)/CH (diurno)/20,1158117/13310115
Letras (Língua Inglesa)/CH (diurno)/25,1158907/13310116
Letras (Língua Espanhola)/CH (noturno)/20 (0/20),43962/13310110
Letras (Língua Portuguesa)/CH (diurno)/35,1158116/13310110
Letras (Língua Portuguesa)/CH (noturno)/30 (0/30),1158116/13310210
Matemática/CES (diurno)/30,99806/51107110
Matemática/CES (noturno)/30,99806/51107210
Matemática/CCT (Bacharelado)(diurno)/10,313448/11107150
Matemática/CCT (Licenciatura) (diurno)/20,13448/11107110
Matemática/CCT (Licenciatura) (noturno)/30,44247/11107210
Matemática/CFP (Licenciatura) (diurno)/40,1152880/21107110
Medicina/CCBS (diurno)/90 (45/45),13453/12205100
Medicina/CFP (diurno)/30,1101742/21205100
Medicina Veterinária/CSTR (diurno)/100 (50/50),13437/41410100
Meteorologia/CTRN (diurno)/45,13435/15108100
Música (Licenciatura)/CH (diurno)/30 (0/30),118630/13311110
Música (Bacharelado)/CH (diurno)/10 (0/10),118632/13311150
Nutrição/CES (diurno)/90 (45/45),118910/51206200
Odontologia/CSTR (diurno)/90 (45/45),122676/41207100
Pedagogia/CFP (matutino)/45,13410/21312110
Pedagogia/CFP (noturno)/45 (0/45),13410/21312210
Pedagogia/CH (matutino)/35,13452/13312110
Pedagogia/CH (noturno)/25 (0/25),13452/13312210
Psicologia/CCBS (noturno)/90 (45/45),1108087/12208100
Química/CFP (noturno)/40,1152881/21109210
Química/CES (diurno)/30,99808/51109100
Química/CES (noturno)/30,99808/51109210
Serviço Social/CCJS (matutino)/50,1117877/31340100
