game_id,game_duration,winner,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,rift_herald_kill,t1_tower_kills,t1_inhibitor_kills,t1_baron_kills,t1_dragon_kills,t2_tower_kills,t2_inhibitor_kills,t2_baron_kills,t2_dragon_kills
1,1949,1,2,1,1,1,1,2,11,1,2,3,5,0,0,1
2,1851,1,1,1,1,0,1,1,10,4,0,2,2,0,0,0
3,1493,1,2,1,1,1,2,0,8,1,1,1,2,0,0,1
4,1758,1,1,1,1,1,1,0,9,2,1,2,0,0,0,0
5,2094,1,2,1,1,1,1,0,9,2,1,3,3,0,0,1
6,2059,1,2,2,1,1,2,0,8,1,1,1,6,0,0,3
7,1993,1,1,2,1,1,1,1,10,2,1,2,2,0,0,0
8,1334,1,1,1,0,0,2,1,6,0,0,0,0,0,0,2
9,1387,2,2,2,2,0,2,2,0,0,0,0,8,1,0,2
10,2681,2,2,2,2,2,2,0,10,1,0,2,8,3,1,2
11,1391,2,2,2,2,2,2,2,0,0,0,1,10,2,1,1
12,1671,1,1,2,1,0,2,1,10,1,0,0,2,0,0,2
13,2071,1,1,1,0,1,2,1,6,0,1,2,3,0,0,1
14,1942,1,2,2,1,0,1,0,7,1,0,1,3,0,0,2
15,2374,2,2,2,1,1,2,0,8,1,1,2,9,2,0,2
16,1717,1,2,1,1,0,1,0,7,1,0,2,0,0,0,0
17,2390,2,2,2,2,2,2,0,3,0,0,1,9,3,2,4
18,1994,1,2,1,1,1,1,1,11,6,1,2,2,0,0,0
19,1513,2,1,2,2,0,2,0,0,0,0,0,11,3,0,2
20,1898,2,1,2,2,2,1,1,4,0,0,3,11,2,1,1
21,2026,2,1,1,1,2,1,2,5,1,0,1,11,3,1,2
22,1962,2,1,2,2,2,1,0,2,0,0,1,9,1,1,2
23,1511,2,1,2,2,0,2,0,2,0,0,0,10,2,0,2
24,1756,1,1,1,1,1,1,1,11,3,1,3,2,0,0,0
25,2173,2,2,2,2,0,1,0,2,0,0,1,11,3,0,0
26,2211,2,2,2,2,0,2,1,2,0,0,0,10,2,0,3
27,2472,2,2,2,1,1,2,2,10,3,1,2,10,2,1,3
28,1342,2,2,2,0,0,2,0,0,0,0,0,5,0,0,2
29,2288,2,1,2,2,2,2,2,4,0,0,1,7,2,1,3
30,1899,1,1,1,1,1,1,1,10,3,1,2,2,0,0,1
31,1597,2,2,1,2,2,1,1,4,0,0,2,9,1,1,0
