series_name,episode_name,series_episode,season,season_episode,url,user_rating,user_votes,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
Scandal,Sweet Baby,1,1,1,http://www.imdb.com/title/tt2019658/?ref_=ttep_ep1,7.5,950,0.03684210526315789,0.011578947368421053,0.01263157894736842,0.015789473684210527,0.0431578947368421,0.0863157894736842,0.2231578947368421,0.2168421052631579,0.10947368421052632,0.24421052631578946
Scandal,Dirty Little Secrets,2,1,2,http://www.imdb.com/title/tt2004902/?ref_=ttep_ep2,7.8,688,0.0377906976744186,0.011627906976744186,0.005813953488372093,0.007267441860465116,0.015988372093023256,0.06395348837209303,0.2005813953488372,0.2747093023255814,0.1308139534883721,0.251453488372093
Scandal,Hell Hath No Fury,3,1,3,http://www.imdb.com/title/tt2016666/?ref_=ttep_ep3,7.9,667,0.037481259370314844,0.0074962518740629685,0.0074962518740629685,0.008995502248875561,0.014992503748125937,0.043478260869565216,0.18590704647676162,0.2938530734632684,0.1424287856071964,0.25787106446776614
Scandal,Enemy of the State,4,1,4,http://www.imdb.com/title/tt2039142/?ref_=ttep_ep4,8,636,0.04874213836477988,0.0047169811320754715,0.007861635220125786,0.0031446540880503146,0.015723270440251572,0.03930817610062893,0.13836477987421383,0.29559748427672955,0.1650943396226415,0.28144654088050314
Scandal,Crash and Burn,5,1,5,http://www.imdb.com/title/tt2057186/?ref_=ttep_ep5,8.1,625,0.04,0.0064,0.008,0.008,0.0176,0.0224,0.1456,0.2848,0.1632,0.304
Scandal,The Trail,6,1,6,http://www.imdb.com/title/tt2055370/?ref_=ttep_ep6,8.4,677,0.03840472673559823,0.0103397341211226,0.007385524372230428,0.004431314623338257,0.01772525849335303,0.019202363367799114,0.0827178729689808,0.24963072378138848,0.1935007385524372,0.3766617429837518
Scandal,Grant: For the People,7,1,7,http://www.imdb.com/title/tt2353107/?ref_=ttep_ep7,8.6,649,0.03697996918335902,0.004622496147919877,0.0061633281972265025,0.0061633281972265025,0.007704160246533128,0.020030816640986132,0.07550077041602465,0.1926040061633282,0.2665639445300462,0.38366718027734975
Scandal,White Hats Off,8,2,1,http://www.imdb.com/title/tt2301136/?ref_=ttep_ep1,8.3,620,0.03387096774193549,0.0064516129032258064,0.004838709677419355,0.008064516129032258,0.008064516129032258,0.025806451612903226,0.10483870967741936,0.2661290322580645,0.20806451612903226,0.3338709677419355
Scandal,The Other Woman,9,2,2,http://www.imdb.com/title/tt2341954/?ref_=ttep_ep2,8.1,541,0.04621072088724584,0.011090573012939002,0.0036968576709796672,0.0073937153419593345,0.005545286506469501,0.027726432532347505,0.1478743068391867,0.28650646950092423,0.14602587800369685,0.3179297597042514
Scandal,Hunting Season,10,2,3,http://www.imdb.com/title/tt2416248/?ref_=ttep_ep3,8.4,545,0.04220183486238532,0.007339449541284404,0.005504587155963303,0.005504587155963303,0.005504587155963303,0.02018348623853211,0.10458715596330276,0.26055045871559634,0.2,0.3486238532110092
Scandal,Beltway Unbuckled,11,2,4,http://www.imdb.com/title/tt2389050/?ref_=ttep_ep4,8.1,514,0.042801556420233464,0.007782101167315175,0.007782101167315175,0.005836575875486381,0.007782101167315175,0.02529182879377432,0.15953307392996108,0.28599221789883267,0.1614785992217899,0.29571984435797666
Scandal,All Roads Lead to Fitz,12,2,5,http://www.imdb.com/title/tt2415156/?ref_=ttep_ep5,8.2,526,0.04182509505703422,0.0076045627376425855,0.0076045627376425855,0.005703422053231939,0.0076045627376425855,0.026615969581749048,0.10266159695817491,0.28517110266159695,0.19011406844106463,0.32509505703422054
Scandal,Spies Like Us,13,2,6,http://www.imdb.com/title/tt2466970/?ref_=ttep_ep6,8.1,520,0.04807692307692308,0.013461538461538462,0.007692307692307693,0.007692307692307693,0.0038461538461538464,0.046153846153846156,0.11730769230769231,0.28076923076923077,0.16346153846153846,0.31153846153846154
