ID,Nome,Idade,Sexo,Sobrevivente,Pais e Filhos,Irmãos e Cônjuges,Classe,Passagem,Local de Embarque,Tarifa,Cabine
1,Mr. Owen Harris Braund,22.0,Masculino,False,0,1,3ª,A/5 21171,Southampton,7.25,
2,Mrs. John Bradley (Florence Briggs Thayer) Cumings,38.0,Feminino,True,0,1,1ª,PC 17599,Cherbourg,71.2833,C85
3,Miss. Laina Heikkinen,26.0,Feminino,True,0,0,3ª,STON/O2. 3101282,Southampton,7.925,
4,Mrs. Jacques Heath (Lily May Peel) Futrelle,35.0,Feminino,True,0,1,1ª,113803,Southampton,53.1,C123
5,Mr. William Henry Allen,35.0,Masculino,False,0,0,3ª,373450,Southampton,8.05,
6,Mr. James Moran,,Masculino,False,0,0,3ª,330877,Queenstown,8.4583,
7,Mr. Timothy J McCarthy,54.0,Masculino,False,0,0,1ª,17463,Southampton,51.8625,E46
8,Master. Gosta Leonard Palsson,2.0,Masculino,False,1,3,3ª,349909,Southampton,21.075,
9,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,27.0,Feminino,True,2,0,3ª,347742,Southampton,11.1333,
10,Mrs. Nicholas (Adele Achem) Nasser,14.0,Feminino,True,0,1,2ª,237736,Cherbourg,30.0708,
11,Miss. Marguerite Rut Sandstrom,4.0,Feminino,True,1,1,3ª,PP 9549,Southampton,16.7,G6
12,Miss. Elizabeth Bonnell,58.0,Feminino,True,0,0,1ª,113783,Southampton,26.55,C103
13,Mr. William Henry Saundercock,20.0,Masculino,False,0,0,3ª,A/5. 2151,Southampton,8.05,
14,Mr. Anders Johan Andersson,39.0,Masculino,False,5,1,3ª,347082,Southampton,31.275,
15,Miss. Hulda Amanda Adolfina Vestrom,14.0,Feminino,False,0,0,3ª,350406,Southampton,7.8542,
16,Mrs. (Mary D Kingcome)  Hewlett,55.0,Feminino,True,0,0,2ª,248706,Southampton,16.0,
17,Master. Eugene Rice,2.0,Masculino,False,1,4,3ª,382652,Queenstown,29.125,
18,Mr. Charles Eugene Williams,,Masculino,True,0,0,2ª,244373,Southampton,13.0,
19,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,31.0,Feminino,False,0,1,3ª,345763,Southampton,18.0,
20,Mrs. Fatima Masselmani,,Feminino,True,0,0,3ª,2649,Cherbourg,7.225,
21,Mr. Joseph J Fynney,35.0,Masculino,False,0,0,2ª,239865,Southampton,26.0,
22,Mr. Lawrence Beesley,34.0,Masculino,True,0,0,2ª,248698,Southampton,13.0,D56
23,"Miss. Anna ""Annie"" McGowan",15.0,Feminino,True,0,0,3ª,330923,Queenstown,8.0292,
24,Mr. William Thompson Sloper,28.0,Masculino,True,0,0,1ª,113788,Southampton,35.5,A6
25,Miss. Torborg Danira Palsson,8.0,Feminino,False,1,3,3ª,349909,Southampton,21.075,
26,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,38.0,Feminino,True,5,1,3ª,347077,Southampton,31.3875,
27,Mr. Farred Chehab Emir,,Masculino,False,0,0,3ª,2631,Cherbourg,7.225,
28,Mr. Charles Alexander Fortune,19.0,Masculino,False,2,3,1ª,19950,Southampton,263.0,C23 C25 C27
29,"Miss. Ellen ""Nellie"" O'Dwyer",,Feminino,True,0,0,3ª,330959,Queenstown,7.8792,
30,Mr. Lalio Todoroff,,Masculino,False,0,0,3ª,349216,Southampton,7.8958,
31,Don. Manuel E Uruchurtu,40.0,Masculino,False,0,0,1ª,PC 17601,Cherbourg,27.7208,
32,Mrs. William Augustus (Marie Eugenie) Spencer,,Feminino,True,0,1,1ª,PC 17569,Cherbourg,146.5208,B78
33,Miss. Mary Agatha Glynn,,Feminino,True,0,0,3ª,335677,Queenstown,7.75,
34,Mr. Edward H Wheadon,66.0,Masculino,False,0,0,2ª,C.A. 24579,Southampton,10.5,
35,Mr. Edgar Joseph Meyer,28.0,Masculino,False,0,1,1ª,PC 17604,Cherbourg,82.1708,
36,Mr. Alexander Oskar Holverson,42.0,Masculino,False,0,1,1ª,113789,Southampton,52.0,
37,Mr. Hanna Mamee,,Masculino,True,0,0,3ª,2677,Cherbourg,7.2292,
38,Mr. Ernest Charles Cann,21.0,Masculino,False,0,0,3ª,A./5. 2152,Southampton,8.05,
39,Miss. Augusta Maria Vander Planke,18.0,Feminino,False,0,2,3ª,345764,Southampton,18.0,
40,Miss. Jamila Nicola-Yarred,14.0,Feminino,True,0,1,3ª,2651,Cherbourg,11.2417,
41,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,40.0,Feminino,False,0,1,3ª,7546,Southampton,9.475,
42,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,27.0,Feminino,False,0,1,2ª,11668,Southampton,21.0,
43,Mr. Theodor Kraeff,,Masculino,False,0,0,3ª,349253,Cherbourg,7.8958,
44,Miss. Simonne Marie Anne Andree Laroche,3.0,Feminino,True,2,1,2ª,SC/Paris 2123,Cherbourg,41.5792,
45,Miss. Margaret Delia Devaney,19.0,Feminino,True,0,0,3ª,330958,Queenstown,7.8792,
46,Mr. William John Rogers,,Masculino,False,0,0,3ª,S.C./A.4. 23567,Southampton,8.05,
47,Mr. Denis Lennon,,Masculino,False,0,1,3ª,370371,Queenstown,15.5,
48,Miss. Bridget O'Driscoll,,Feminino,True,0,0,3ª,14311,Queenstown,7.75,
49,Mr. Youssef Samaan,,Masculino,False,0,2,3ª,2662,Cherbourg,21.6792,
50,Mrs. Josef (Josefine Franchi) Arnold-Franchi,18.0,Feminino,False,0,1,3ª,349237,Southampton,17.8,
51,Master. Juha Niilo Panula,7.0,Masculino,False,1,4,3ª,3101295,Southampton,39.6875,
52,Mr. Richard Cater Nosworthy,21.0,Masculino,False,0,0,3ª,A/4. 39886,Southampton,7.8,
53,Mrs. Henry Sleeper (Myna Haxtun) Harper,49.0,Feminino,True,0,1,1ª,PC 17572,Cherbourg,76.7292,D33
54,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,29.0,Feminino,True,0,1,2ª,2926,Southampton,26.0,
55,Mr. Engelhart Cornelius Ostby,65.0,Masculino,False,1,0,1ª,113509,Cherbourg,61.9792,B30
56,Mr. Hugh Woolner,,Masculino,True,0,0,1ª,19947,Southampton,35.5,C52
57,Miss. Emily Rugg,21.0,Feminino,True,0,0,2ª,C.A. 31026,Southampton,10.5,
58,Mr. Mansouer Novel,28.5,Masculino,False,0,0,3ª,2697,Cherbourg,7.2292,
59,Miss. Constance Mirium West,5.0,Feminino,True,2,1,2ª,C.A. 34651,Southampton,27.75,
60,Master. William Frederick Goodwin,11.0,Masculino,False,2,5,3ª,CA 2144,Southampton,46.9,
61,Mr. Orsen Sirayanian,22.0,Masculino,False,0,0,3ª,2669,Cherbourg,7.2292,
62,Miss. Amelie Icard,38.0,Feminino,True,0,0,1ª,113572,Southampton,80.0,B28
63,Mr. Henry Birkhardt Harris,45.0,Masculino,False,0,1,1ª,36973,Southampton,83.475,C83
64,Master. Harald Skoog,4.0,Masculino,False,2,3,3ª,347088,Southampton,27.9,
65,Mr. Albert A Stewart,,Masculino,False,0,0,1ª,PC 17605,Cherbourg,27.7208,
66,Master. Gerios Moubarek,,Masculino,True,1,1,3ª,2661,Cherbourg,15.2458,
67,Mrs. (Elizabeth Ramell) Nye,29.0,Feminino,True,0,0,2ª,C.A. 29395,Southampton,10.5,F33
68,Mr. Ernest James Crease,19.0,Masculino,False,0,0,3ª,S.P. 3464,Southampton,8.1583,
69,Miss. Erna Alexandra Andersson,17.0,Feminino,True,2,4,3ª,3101281,Southampton,7.925,
70,Mr. Vincenz Kink,26.0,Masculino,False,0,2,3ª,315151,Southampton,8.6625,
71,Mr. Stephen Curnow Jenkin,32.0,Masculino,False,0,0,2ª,C.A. 33111,Southampton,10.5,
72,Miss. Lillian Amy Goodwin,16.0,Feminino,False,2,5,3ª,CA 2144,Southampton,46.9,
73,Mr. Ambrose Jr Hood,21.0,Masculino,False,0,0,2ª,S.O.C. 14879,Southampton,73.5,
74,Mr. Apostolos Chronopoulos,26.0,Masculino,False,0,1,3ª,2680,Cherbourg,14.4542,
75,Mr. Lee Bing,32.0,Masculino,True,0,0,3ª,1601,Southampton,56.4958,
76,Mr. Sigurd Hansen Moen,25.0,Masculino,False,0,0,3ª,348123,Southampton,7.65,F G73
77,Mr. Ivan Staneff,,Masculino,False,0,0,3ª,349208,Southampton,7.8958,
78,Mr. Rahamin Haim Moutal,,Masculino,False,0,0,3ª,374746,Southampton,8.05,
79,Master. Alden Gates Caldwell,0.83,Masculino,True,2,0,2ª,248738,Southampton,29.0,
80,Miss. Elizabeth Dowdell,30.0,Feminino,True,0,0,3ª,364516,Southampton,12.475,
81,Mr. Achille Waelens,22.0,Masculino,False,0,0,3ª,345767,Southampton,9.0,
82,Mr. Jan Baptist Sheerlinck,29.0,Masculino,True,0,0,3ª,345779,Southampton,9.5,
83,Miss. Brigdet Delia McDermott,,Feminino,True,0,0,3ª,330932,Queenstown,7.7875,
84,Mr. Francisco M Carrau,28.0,Masculino,False,0,0,1ª,113059,Southampton,47.1,
85,Miss. Bertha Ilett,17.0,Feminino,True,0,0,2ª,SO/C 14885,Southampton,10.5,
86,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,33.0,Feminino,True,0,3,3ª,3101278,Southampton,15.85,
87,Mr. William Neal Ford,16.0,Masculino,False,3,1,3ª,W./C. 6608,Southampton,34.375,
88,Mr. Selman Francis Slocovski,,Masculino,False,0,0,3ª,SOTON/OQ 392086,Southampton,8.05,
89,Miss. Mabel Helen Fortune,23.0,Feminino,True,2,3,1ª,19950,Southampton,263.0,C23 C25 C27
90,Mr. Francesco Celotti,24.0,Masculino,False,0,0,3ª,343275,Southampton,8.05,
91,Mr. Emil Christmann,29.0,Masculino,False,0,0,3ª,343276,Southampton,8.05,
92,Mr. Paul Edvin Andreasson,20.0,Masculino,False,0,0,3ª,347466,Southampton,7.8542,
93,Mr. Herbert Fuller Chaffee,46.0,Masculino,False,0,1,1ª,W.E.P. 5734,Southampton,61.175,E31
94,Mr. Bertram Frank Dean,26.0,Masculino,False,2,1,3ª,C.A. 2315,Southampton,20.575,
95,Mr. Daniel Coxon,59.0,Masculino,False,0,0,3ª,364500,Southampton,7.25,
96,Mr. Charles Joseph Shorney,,Masculino,False,0,0,3ª,374910,Southampton,8.05,
97,Mr. George B Goldschmidt,71.0,Masculino,False,0,0,1ª,PC 17754,Cherbourg,34.6542,A5
98,Mr. William Bertram Greenfield,23.0,Masculino,True,1,0,1ª,PC 17759,Cherbourg,63.3583,D10 D12
99,Mrs. John T (Ada Julia Bone) Doling,34.0,Feminino,True,1,0,2ª,231919,Southampton,23.0,
100,Mr. Sinai Kantor,34.0,Masculino,False,0,1,2ª,244367,Southampton,26.0,
101,Miss. Matilda Petranec,28.0,Feminino,False,0,0,3ª,349245,Southampton,7.8958,
102,"Mr. Pastcho (""Pentcho"") Petroff",,Masculino,False,0,0,3ª,349215,Southampton,7.8958,
103,Mr. Richard Frasar White,21.0,Masculino,False,1,0,1ª,35281,Southampton,77.2875,D26
104,Mr. Gustaf Joel Johansson,33.0,Masculino,False,0,0,3ª,7540,Southampton,8.6542,
105,Mr. Anders Vilhelm Gustafsson,37.0,Masculino,False,0,2,3ª,3101276,Southampton,7.925,
106,Mr. Stoytcho Mionoff,28.0,Masculino,False,0,0,3ª,349207,Southampton,7.8958,
107,Miss. Anna Kristine Salkjelsvik,21.0,Feminino,True,0,0,3ª,343120,Southampton,7.65,
108,Mr. Albert Johan Moss,,Masculino,True,0,0,3ª,312991,Southampton,7.775,
109,Mr. Tido Rekic,38.0,Masculino,False,0,0,3ª,349249,Southampton,7.8958,
110,Miss. Bertha Moran,,Feminino,True,0,1,3ª,371110,Queenstown,24.15,
111,Mr. Walter Chamberlain Porter,47.0,Masculino,False,0,0,1ª,110465,Southampton,52.0,C110
112,Miss. Hileni Zabour,14.5,Feminino,False,0,1,3ª,2665,Cherbourg,14.4542,
113,Mr. David John Barton,22.0,Masculino,False,0,0,3ª,324669,Southampton,8.05,
114,Miss. Katriina Jussila,20.0,Feminino,False,0,1,3ª,4136,Southampton,9.825,
115,Miss. Malake Attalah,17.0,Feminino,False,0,0,3ª,2627,Cherbourg,14.4583,
116,Mr. Edvard Pekoniemi,21.0,Masculino,False,0,0,3ª,STON/O 2. 3101294,Southampton,7.925,
